NAME,BUSSINESS,NUMBER,INPUT
落地扇,致诚商贸,23,300
落地扇,远大制冷,56,220
落地扇,致诚商贸,45,470
空调扇,致诚商贸,26,700
空调扇,远大制冷,45,580
三叶吊扇,致诚商贸,95,290
三叶吊扇,远大制冷,62,420
三叶吊扇,远大制冷,12,450
遥控落地扇,清新电器,35,480
遥控落地扇,致诚商贸,78,550
遥控落地扇,远大制冷,65,550
挂式空调,清新电器,78,3200
挂式空调,远大制冷,14,4100
遥控落地扇,致诚商贸,16,480
遥控落地扇,致诚商贸,65,510
遥控落地扇,致诚商贸,96,550
移动空调,远大制冷,47,1200
柜式空调,远大制冷,95,5300
柜式空调,致诚商贸,62,6800
柜式空调,清新电器,12,7500
三叶吊扇,清新电器,65,450
三叶吊扇,致诚商贸,45,360
三叶吊扇,清新电器,95,550
移动空调,远大制冷,32,2100
移动空调,致诚商贸,65,1500
移动空调,清新电器,48,1500
移动空调,清新电器,94,2000
柜式空调,致诚商贸,45,8000
柜式空调,远大制冷,95,6200
柜式空调,清新电器,63,6200
